Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
DC,"Sep 8 - Sep 24, 2020",4,Statewide,Statewide,684498,116,7.5,2.7,12.52,0,329,6,3.31,9.02,0,203,8.7,4.43,12.74,0,328,4.1,1.82,6.63,0,447,7.1,4.36,9.97,0,529,5.9,3.49,8.57,0,976,6.5,4.47,8.29,0,44492,30597,56745,true,false
DE,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,949495,56,777,,,,283,8.6,4.62,12.73,0,271,2.9,0.93,5.2,0,370,3.2,1.38,5.6,0,410,7.6,3.93,11.89,0,570,7.4,4.09,11.24,0,980,7.5,4.89,10.5,0,71212,46430,99697,true,false
FL,"Sep 11 - Sep 11, 2020",4,Statewide,Statewide,20598139,245,13,8.08,18.74,0,245,10,6.19,13.81,0,245,6.5,3.37,10.6,0,244,3,1.04,5.76,0,433,9.3,6.12,12.83,0,546,7.8,5.27,10.68,0,979,8.5,6.55,10.68,0,1750842,1349178,2199881,true,false
GA,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,10297484,310,18.7,13.95,23.87,0,260,15.1,10.33,20.63,0,262,5.4,2.75,8.9,0,268,6.3,2.78,10.57,0,467,14,9.71,18,0,633,12.1,8.45,15.24,0,1100,13,10.51,15.79,0,1338673,1082266,1625973,true,false
HI,"Sep 8 - Sep 22, 2020",4,Statewide,Statewide,1422029,8,777,,,,166,1.9,0,5.1,1,158,0,0,2.31,2,184,0.3,0,1.77,1,196,1.4,0,3.97,1,320,0.3,0,1.22,1,516,0.8,0,2.18,1,11376,0,31000,false,true
IA,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,3132499,42,777,,,,322,11.3,7.24,15.02,0,326,9.9,6.85,13.12,0,287,3.3,1.32,5.78,0,509,5.9,3.27,9.28,0,468,9.2,6.43,12.32,0,977,7.6,5.56,10.02,0,238070,174167,313876,true,false
ID,"Sep 8 - Sep 18, 2020",4,Statewide,Statewide,1687809,23,777,,,,229,4.1,1.59,7.42,0,250,7.8,3.83,12.51,0,230,1.6,0,3.49,1,275,2.6,1.1,4.67,0,457,7.8,3.13,14.14,0,732,5.2,2.74,8.46,0,87766,46246,142789,true,true
IL,"Sep 8 - Sep 17, 2020",4,Statewide,Statewide,12821497,257,5.7,2.87,8.71,0,245,3.5,1.33,6.13,0,245,6.9,3.73,10.43,0,245,2.6,0.72,5.17,0,442,6.2,3.88,8.91,0,550,2.9,1.67,4.44,0,992,4.5,3.1,6.07,0,576967,397466,778265,true,false
IN,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,6637426,23,777,,,,625,2.6,1.39,3.88,0,246,3,0.98,5.86,0,261,2.8,0.77,5.05,0,288,5.5,0.72,15.45,1,867,2.5,1.57,3.55,0,1155,4,1.44,8.79,0,265497,95579,583430,true,true
KS,"Sep 9 - Sep 19, 2020",4,Statewide,Statewide,2908776,237,5,2.04,8.01,0,262,3.6,1.67,6.05,0,255,2.3,0.39,4.48,0,253,2.3,0.45,4.48,0,455,3.4,1.77,5.58,0,552,3.5,1.82,5.36,0,1007,3.5,2.31,4.84,0,101807,67193,140785,true,false
KY,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,4440204,188,4.1,1.14,7.6,0,275,4.8,2.22,7.63,0,250,2.5,0.62,4.74,0,267,1.5,0,3.42,1,404,5,2.67,7.52,0,576,2.4,1.12,4.02,0,980,3.6,2.33,5.21,0,159847,103457,231335,true,true
LA,"Sep 9 - Sep 19, 2020",4,Statewide,Statewide,4663616,200,15.1,9.78,21.76,0,254,15.5,10.87,21.5,0,248,8.4,4.52,12.9,0,250,4.8,1.91,8.22,0,370,11.8,8.05,16.83,0,582,13.1,9.57,16.89,0,952,12.5,10.02,15.61,0,582952,467294,727990,true,false
MA,"Sep 9 - Sep 15, 2020",4,Statewide,Statewide,6830193,247,5.3,2.31,8.46,0,249,5.2,2.27,8.41,0,247,1.4,0,3.23,0,245,0.6,0,1.95,1,434,3.1,1.28,5.55,0,554,4.2,2.3,6.44,0,988,3.7,2.23,5.16,0,252717,152313,352438,true,true
MD,"Sep 10 - Sep 23, 2020",4,Statewide,Statewide,6003435,96,11.5,5.26,18.5,0,393,13.5,9.92,17.33,0,433,6.4,4.06,8.95,0,320,3.6,1.81,5.81,0,676,12.7,9.66,15.94,0,566,7.8,4.76,11.01,0,1242,10.2,7.91,12.68,0,612350,474872,761236,true,false
ME,"Sep 8 - Sep 24, 2020",4,Statewide,Statewide,1332813,40,777,,,,380,0.8,0,1.66,0,246,0.4,0,1.1,1,321,0.4,0,1.09,1,377,0.2,0,0.73,1,610,0.7,0.15,1.41,0,987,0.5,0.09,0.87,0,6664,1200,11595,false,true
MI,"Sep 8 - Sep 22, 2020",4,Statewide,Statewide,9957488,206,7.3,3.8,11.09,0,283,3.3,1.37,5.55,0,247,1.9,0.35,3.83,0,244,1.9,0,3.96,0,434,2.4,0.87,4.24,0,546,4.9,2.86,6.99,0,980,3.7,2.54,4.93,0,368427,252920,490904,true,false
MN,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,5527358,85,10.6,1.68,21.27,0,392,8.7,4.27,14.25,0,310,6.4,3.18,10.9,0,246,4,1.76,6.66,0,428,8.5,3.9,13.28,0,605,7.5,3.69,12.69,0,1033,8,4.74,11.43,0,442189,261997,631777,true,false
MO,"Sep 8 - Sep 24, 2020",4,Statewide,Statewide,6090062,249,5.1,2.34,8.57,0,257,4.2,1.33,7.48,0,262,2.3,0.64,4.18,0,263,1.2,0,3.16,1,475,3.1,1.49,5.47,0,556,3.9,2,6.07,0,1031,3.5,2.15,5.01,0,213152,130936,305112,true,true
MS,"Sep 9 - Sep 22, 2020",4,Statewide,Statewide,2988762,30,777,,,,284,11.9,6.94,17.26,0,339,7.6,3.81,11.71,0,327,6.2,2.84,10.21,0,397,7.6,4.42,11.42,0,583,8.2,4.35,12.81,0,980,7.9,5.35,10.87,0,236112,159899,324878,true,false
MT,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,1041732,24,777,,,,162,0.8,0,3.09,1,164,3.3,0.73,7.47,0,158,2.3,0,5.39,1,177,2,0.31,4.49,0,331,2.5,0.33,6.41,1,508,2.2,0.67,4.38,0,22918,6980,45628,true,true
NC,"Sep 9 - Sep 17, 2020",4,Statewide,Statewide,10155624,184,10.1,5.68,16.04,0,247,8.4,4.58,12.59,0,247,4.4,1.76,7.37,0,247,0.4,0,1.39,1,392,6.9,3.93,10.07,0,533,6.7,4.38,9.36,0,925,6.8,4.83,8.87,0,690582,490517,900804,true,true
ND,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,752201,5,777,,,,44,777,,,,34,777,,,,30,777,,,,34,777,,,,79,2.4,0,6.98,1,113,1.2,0,3.4,1,9026,0,25575,false,true
NE,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,1904760,71,777,,,,396,5.1,2.82,7.46,0,260,7.5,4.43,11.16,0,249,6,3.21,9.08,0,506,6.5,3.76,9.77,0,470,7,4.24,10.2,0,976,6.7,4.8,8.88,0,127619,91428,169143,true,false
NH,"Sep 9 - Sep 17, 2020",4,Statewide,Statewide,1343622,51,777,,,,373,1.1,0.18,2.18,0,260,0.6,0,1.63,1,350,1.1,0,2.67,1,404,0.9,0.05,1.86,0,630,0.6,0.06,1.35,0,1034,0.7,0.26,1.32,0,9405,3493,17736,false,true
NJ,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,8881845,209,18.1,12.68,23.29,0,285,18.9,14.75,23.77,0,301,12,8.4,15.5,0,255,4.8,2.09,7.82,0,478,17.9,14.25,21.72,0,572,12.4,9.53,15.58,0,1050,15.1,12.65,17.63,0,1341159,1123553,1565869,true,false
NM,"Sep 8 - Sep 24, 2020",4,Statewide,Statewide,2092434,177,4,1.13,8.35,0,267,1.7,0.42,3.73,1,289,1.7,0.23,3.49,1,281,2.4,0.45,5.13,1,399,2.1,0.63,4.23,0,615,2.6,1.3,4.35,0,1014,2.4,1.19,3.65,0,50218,24900,76374,true,true
NV,"Sep 9 - Sep 12, 2020",4,Statewide,Statewide,2922849,230,6.3,3.13,9.91,0,249,9.8,5.96,14.45,0,250,9.2,5.7,13.38,0,250,2.5,0.78,4.69,0,379,8.3,5.4,11.77,0,600,7.2,4.86,9.99,0,979,7.8,5.9,9.99,0,227982,172448,291993,true,false
NY,"Sep 11 - Sep 24, 2020",4,Statewide,Statewide,19618453,305,21.4,16.82,26.39,0,282,17.2,13.15,21.68,0,301,16.5,12.1,20.83,0,280,11.2,7.66,14.59,0,539,16,12.51,19.44,0,629,18,14.96,21.24,0,1168,17,14.72,19.23,0,3335137,2887836,3772629,true,false
OH,"Sep 10 - Sep 22, 2020",4,Statewide,Statewide,11641879,100,4.9,0.85,9.91,0,278,2,0.44,3.77,0,271,2.1,0.36,4.05,0,329,3.1,1.15,5.27,0,438,3.1,1.26,5.21,0,540,2.6,1,4.62,0,978,2.8,1.69,4.16,0,325973,196748,484302,true,false
OK,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,3918137,245,7.1,3.68,10.91,0,245,5.5,2.77,8.59,0,245,3.8,1.44,6.85,0,245,1.6,0,3.65,1,399,3.7,1.68,6.04,0,581,6.2,3.93,8.52,0,980,5,3.44,6.54,0,195907,134784,256246,true,true
OR,"Sep 8 - Sep 22, 2020",4,Statewide,Statewide,4081943,117,5.2,1.65,9.92,0,255,1.7,0,4.05,1,328,2.1,0.7,4.09,0,271,2.5,0.52,4.97,0,408,2.9,1.05,5.21,0,563,2.4,0.93,4.18,0,971,2.6,1.51,4.06,0,106131,61637,165727,true,true
PA,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,12791181,36,777,,,,848,14.8,12.18,17.11,0,236,8.6,5.22,12.6,0,221,2.5,0.42,4.97,0,875,18.5,14.4,23.51,0,466,4.1,2.38,5.87,0,1341,11.1,8.85,13.71,0,1419821,1132020,1753671,true,false
PR,"Sep 8 - Sep 15, 2020",4,Statewide,Statewide,3386941,245,2.6,0.5,5.34,1,241,2.7,0.62,5.24,0,245,3.9,1.32,7.18,0,239,2.8,0.61,5.67,0,369,3.9,2,6.3,0,601,2.1,0.82,3.7,0,970,3,1.78,4.27,0,101608,60288,144622,true,true
RI,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,1056611,27,777,,,,263,1.7,0.32,3.77,0,253,4.1,1.73,6.76,0,252,1.6,0,3.31,0,348,3.9,1.05,8.15,0,447,1.5,0.54,2.69,0,795,2.7,1.15,4.91,0,28528,12151,51880,true,false
SC,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,4955925,81,9.6,3.2,17.53,0,308,10.4,6.69,14.54,0,304,3.9,1.6,6.46,0,282,3.9,1.68,6.34,0,446,8.9,5.65,12.93,0,529,6.8,4.2,9.92,0,975,7.8,5.58,10.19,0,386562,276541,505009,true,false
SD,"Sep 9 - Sep 23, 2020",4,Statewide,Statewide,864289,2,777,,,,48,777,,,,27,777,,,,22,777,,,,65,777,,,,34,777,,,,99,1.8,0,4.82,1,15557,0,41659,false,true
TN,"Sep 8 - Sep 16, 2020",4,Statewide,Statewide,6651089,253,10.8,7.19,15.29,0,258,6.8,3.5,10.78,0,257,5.8,3.27,9.01,0,260,1.7,0.33,3.57,1,443,7.4,4.67,10.56,0,585,6,3.87,8.39,0,1028,6.7,4.96,8.57,0,445623,329894,569998,true,true
TX,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,27885195,229,12.7,8.35,17.62,0,252,8.5,4.72,12.6,0,253,5.3,2.68,8.6,0,254,1.8,0.31,3.75,1,448,7.1,4.15,10.37,0,540,9.4,6.27,12.66,0,988,8.2,6.16,10.47,0,2286586,1717728,2919580,true,true
UT,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,3045350,46,777,,,,348,7.3,4.48,10.48,0,344,6.2,3.79,8.68,0,284,1.2,0,2.94,1,423,4.8,1.74,10.17,0,597,5.4,3.64,7.46,0,1022,5.1,3.29,7.9,0,155313,100192,240583,true,true
VA,"Sep 10 - Sep 23, 2020",4,Statewide,Statewide,8413774,25,777,,,,390,4.9,2.67,7.62,0,364,1.6,0.27,3.19,0,332,1.1,0.2,2.26,0,422,1.4,0.29,3.11,0,689,5,2.46,8.53,0,1111,3.2,1.81,5.13,0,269241,152289,431627,true,false
VT,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,624977,14,777,,,,203,0.4,0,1.59,1,176,0.6,0,2.24,1,104,2.4,0,5.68,1,195,0.8,0,1.97,1,302,2.7,0,7.64,1,497,1.7,0.27,4.15,1,10625,1687,25937,true,true
WA,"Sep 9 - Sep 22, 2020",4,Statewide,Statewide,7294336,125,4.2,0.88,8.66,0,283,2.2,0.51,4.46,0,287,1.1,0,2.68,1,273,2.5,0.68,4.75,0,428,2.9,1,5.55,0,540,2,0.84,3.57,0,968,2.5,1.29,3.83,0,182358,94097,279373,true,true
WI,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,5778394,44,777,,,,351,3.9,1.85,6.26,0,255,2.4,0.65,4.44,0,326,3.3,1.37,5.73,0,422,5.4,2.2,9.21,0,554,2.2,1.02,3.61,0,976,3.8,2.2,5.73,0,219579,127125,331102,true,false
WV,"Sep 9 - Sep 22, 2020",4,Statewide,Statewide,1829054,31,777,,,,329,1.9,0.37,3.84,0,307,1.7,0,3.7,0,301,1,0,2.35,1,445,1.8,0.48,3.24,0,523,0.8,0.1,1.82,0,968,1.3,0.51,2.18,0,23778,9328,39873,false,true
WY,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,581836,6,777,,,,38,777,,,,47,777,,,,20,777,,,,55,777,,,,56,777,,,,111,1.5,0,3.97,1,8728,0,23099,false,true
