"age_cat","0","1"
"<10",2436746,2543252
"10-19",2512511,2627736
"20-29",2828053,3024241
"30-39",2684285,2771237
"40-49",2582560,2587997
"50-59",2493081,2411671
"60-69",2018134,1842328
"70-79",1255669,1052863
"80+",883952,592444
